Date,Country,Price in US dollars
2000-04-01,Argentina,2.5
2000-04-01,Australia,1.54166666666667
2000-04-01,Brazil,1.64804469273743
2000-04-01,Canada,1.93877551020408
2000-04-01,Switzerland,3.47058823529412
2000-04-01,Chile,2.45136186770428
2000-04-01,China,1.19565217391304
2000-04-01,Czech Republic,1.39053708439898
2000-04-01,Denmark,3.07835820895522
2000-04-01,Euro area,2.38080000045235
2000-04-01,Britain,3.00200000192128
2000-04-01,Hong Kong,1.30937098844673
2000-04-01,Hungary,1.21505376344086
2000-04-01,Indonesia,1.82504719949654
2000-04-01,Israel,3.58024691358025
2000-04-01,Japan,2.77358490566038
2000-04-01,South Korea,2.70758122743682
2000-04-01,Mexico,2.22104144527099
2000-04-01,Malaysia,1.18947368421053
2000-04-01,New Zealand,1.69154228855721
2000-04-01,Poland,1.27906976744186
2000-04-01,Russia,1.3859649122807
2000-04-01,Singapore,1.88235294117647
2000-04-01,Sweden,2.71493212669683
2000-04-01,Thailand,1.44736842105263
2000-04-01,Taiwan,2.28758169934641
2000-04-01,United States,2.51
2000-04-01,South Africa,1.33928571428571
2001-04-01,Argentina,2.5
2001-04-01,Australia,1.51515151515152
2001-04-01,Brazil,1.64383561643836
2001-04-01,Canada,2.13461538461538
2001-04-01,Switzerland,3.64161849710983
2001-04-01,Chile,2.09650582362729
2001-04-01,China,1.19565217391304
2001-04-01,Czech Republic,1.43589743589744
2001-04-01,Denmark,2.92553191489362
2001-04-01,Euro area,2.26160000072371
2001-04-01,Britain,2.84570000122365
2001-04-01,Hong Kong,1.37179487179487
2001-04-01,Hungary,1.31683168316832
2001-04-01,Indonesia,1.35421464762782
2001-04-01,Japan,2.37096774193548
2001-04-01,South Korea,2.26415094339623
2001-04-01,Mexico,2.35737351991389
2001-04-01,Malaysia,1.18947368421053
2001-04-01,New Zealand,1.45748987854251
2001-04-01,Philippines,1.17296222664016
2001-04-01,Poland,1.46401985111663
2001-04-01,Russia,1.21107266435986
2001-04-01,Singapore,1.8232044198895
2001-04-01,Sweden,2.33463035019455
2001-04-01,Thailand,1.20879120879121
2001-04-01,Taiwan,2.12765957446809
2001-04-01,United States,2.54
2001-04-01,South Africa,1.19311193111931
2002-04-01,Argentina,0.798722044728435
2002-04-01,Australia,1.61290322580645
2002-04-01,Brazil,1.53846153846154
2002-04-01,Canada,2.12101910828025
2002-04-01,Switzerland,3.79518072289157
2002-04-01,Chile,2.13740458015267
2002-04-01,China,1.26811594202899
2002-04-01,Czech Republic,1.65529411764706
2002-04-01,Denmark,2.95346062052506
2002-04-01,Euro area,2.37629999919206
2002-04-01,Britain,2.8855000017313
2002-04-01,Hong Kong,1.4
2002-04-01,Hungary,1.6875
2002-04-01,Indonesia,1.69671261930011
2002-04-01,Israel,2.50521920668058
2002-04-01,Japan,2.01538461538462
2002-04-01,South Korea,2.37730061349693
2002-04-01,Mexico,2.35991379310345
2002-04-01,Malaysia,1.32631578947368
2002-04-01,Norway,4.08878504672897
2002-04-01,New Zealand,1.60714285714286
2002-04-01,Peru,2.47813411078717
2002-04-01,Philippines,1.27450980392157
2002-04-01,Poland,1.46039603960396
2002-04-01,Russia,1.25
2002-04-01,Singapore,1.81318681318681
2002-04-01,Sweden,2.5
2002-04-01,Thailand,1.270207852194
2002-04-01,Turkey,3.02000755001888
2002-04-01,Taiwan,2.01149425287356
2002-04-01,United States,2.49
2002-04-01,South Africa,0.889908256880734
2003-04-01,Argentina,1.42361111111111
2003-04-01,Australia,1.86335403726708
2003-04-01,Brazil,1.48208469055375
2003-04-01,Canada,2.20689655172414
2003-04-01,Switzerland,4.5985401459854
2003-04-01,Chile,1.95530726256983
2003-04-01,China,1.19565217391304
2003-04-01,Czech Republic,1.95743944636678
2003-04-01,Denmark,4.0929203539823
2003-04-01,Egypt,1.35135135135135
2003-04-01,Euro area,2.9810000002981
2003-04-01,Britain,3.14420000201229
2003-04-01,Hong Kong,1.47435897435897
2003-04-01,Hungary,2.1875
2003-04-01,Indonesia,1.84210526315789
2003-04-01,Japan,2.18333333333333
2003-04-01,South Korea,2.70491803278689
2003-04-01,Mexico,2.18423551756885
2003-04-01,Malaysia,1.32631578947368
2003-04-01,New Zealand,2.21910112359551
2003-04-01,Peru,2.28323699421965
2003-04-01,Philippines,1.23809523809524
2003-04-01,Poland,1.61953727506427
2003-04-01,Russia,1.31832797427653
2003-04-01,Singapore,1.85393258426966
2003-04-01,Sweden,3.59712230215827
2003-04-01,Thailand,1.38173302107728
2003-04-01,Turkey,2.34301780693533
2003-04-01,Taiwan,2.01149425287356
2003-04-01,United States,2.71
2003-04-01,South Africa,1.8452380952381
2004-05-01,Argentina,1.47796610169492
2004-05-01,Australia,2.27272727272727
2004-05-01,Brazil,1.69811320754717
2004-05-01,Canada,2.32846715328467
2004-05-01,Switzerland,4.88372093023256
2004-05-01,Chile,2.18408736349454
2004-05-01,China,1.256038647343
2004-05-01,Colombia,2.34671441929649
2004-05-01,Costa Rica,2.60638911313574
2004-05-01,Czech Republic,2.12905660377359
2004-05-01,Denmark,4.46141479099679
2004-05-01,Egypt,1.61550888529887
2004-05-01,Euro area,3.2880000013152
2004-05-01,Britain,3.36519999925966
2004-05-01,Hong Kong,1.54043645699615
2004-05-01,Hungary,2.51184834123223
2004-05-01,Indonesia,1.76535087719298
2004-05-01,Japan,2.31858407079646
2004-05-01,South Korea,2.71877655055225
2004-05-01,Sri Lanka,1.41414141414141
2004-05-01,Mexico,2.06896551724138
2004-05-01,Malaysia,1.32631578947368
2004-05-01,Norway,5.18316275131039
2004-05-01,New Zealand,2.65243902439024
2004-05-01,Pakistan,1.90443213296399
2004-05-01,Peru,2.57593123209169
2004-05-01,Philippines,1.23434704830054
2004-05-01,Poland,1.62790697674419
2004-05-01,Russia,1.44827586206897
2004-05-01,Saudi Arabia,0.639965868487014
2004-05-01,Singapore,1.92982456140351
2004-05-01,Sweden,3.94218134034166
2004-05-01,Thailand,1.44607843137255
2004-05-01,Turkey,2.58001306335728
2004-05-01,Taiwan,2.24550898203593
2004-05-01,Ukraine,1.35984244584076
2004-05-01,Uruguay,1.00218597612241
2004-05-01,United States,2.9
2004-05-01,South Africa,1.86186186186186
2005-06-01,UAE,2.45064669843431
2005-06-01,Argentina,1.6396272005523
2005-06-01,Australia,2.49711870918171
2005-06-01,Brazil,2.39370334307043
2005-06-01,Canada,2.62526012485993
2005-06-01,Switzerland,5.0501002004008
2005-06-01,Chile,2.53185922862689
2005-06-01,China,1.26866753661012
2005-06-01,Colombia,2.79245607251794
2005-06-01,Costa Rica,2.3774458236903
2005-06-01,Czech Republic,2.29901918837532
2005-06-01,Denmark,4.57565914224941
2005-06-01,Egypt,1.55172413793103
2005-06-01,Euro area,3.58313199823029
2005-06-01,Britain,3.44040000271792
2005-06-01,Hong Kong,1.54227768709756
2005-06-01,Hungary,2.6025937547571
2005-06-01,Indonesia,1.5295966474594
2005-06-01,Japan,2.34268846928735
2005-06-01,South Korea,2.48632521133764
2005-06-01,Sri Lanka,1.75096302966632
2005-06-01,Mexico,2.57648953301127
2005-06-01,Malaysia,1.38157894736842
2005-06-01,Norway,6.06286726984423
2005-06-01,New Zealand,3.17335805462455
2005-06-01,Pakistan,2.18047635021805
2005-06-01,Peru,2.76224420819763
2005-06-01,Philippines,1.46654445462878
2005-06-01,Poland,1.96398356296833
2005-06-01,Russia,1.47858689338332
2005-06-01,Saudi Arabia,2.39993600170662
2005-06-01,Singapore,2.16776058288673
2005-06-01,Sweden,4.16655466250907
2005-06-01,Thailand,1.48038490007402
2005-06-01,Turkey,2.9218407596786
2005-06-01,Taiwan,2.40577385725742
2005-06-01,Ukraine,1.43280632411067
2005-06-01,Uruguay,1.82383419689119
2005-06-01,United States,3.06
2005-06-01,South Africa,2.09831232514064
2006-01-01,Argentina,1.55036229518898
2006-01-01,Australia,2.44214006612564
2006-01-01,Brazil,2.74154322352421
2006-01-01,Canada,3.00751879699248
2006-01-01,Switzerland,4.93112085159674
2006-01-01,Chile,2.98421807747489
2006-01-01,China,1.30206718666683
2006-01-01,Czech Republic,2.60094389092816
2006-01-01,Denmark,4.49254480402791
2006-01-01,Egypt,1.61149825783972
2006-01-01,Euro area,3.51382499956077
2006-01-01,Britain,3.3161319980909
2006-01-01,Hong Kong,1.54814738363092
2006-01-01,Hungary,2.70588917451052
2006-01-01,Indonesia,1.54334038054968
2006-01-01,Japan,2.18713092165697
2006-01-01,South Korea,2.55767558442887
2006-01-01,Mexico,2.65591652833768
2006-01-01,Malaysia,1.46713615023474
2006-01-01,New Zealand,3.07596599156701
2006-01-01,Peru,2.75681950087057
2006-01-01,Philippines,1.55952833777102
2006-01-01,Poland,2.08661038168919
2006-01-01,Russia,1.60446459713987
2006-01-01,Singapore,2.20143093010457
2006-01-01,Sweden,4.27910112942336
2006-01-01,Thailand,1.50924412023645
2006-01-01,Turkey,3.06771417882529
2006-01-01,Taiwan,2.34745457675394
2006-01-01,United States,3.15
2006-01-01,South Africa,2.29429468940677
2006-05-01,UAE,2.45057997059304
2006-05-01,Argentina,2.29020121053493
2006-05-01,Australia,2.43896947911116
2006-05-01,Brazil,2.77717509221089
2006-05-01,Canada,3.1415948949083
2006-05-01,Switzerland,5.21156471026182
2006-05-01,Chile,2.94367393150297
2006-05-01,China,1.30824819337154
2006-05-01,Colombia,2.59626138360761
2006-05-01,Costa Rica,2.21770830266812
2006-05-01,Czech Republic,2.67100299441826
2006-05-01,Denmark,4.76947535771065
2006-05-01,Egypt,1.64623315860157
2006-05-01,Euro area,3.76691649704796
2006-05-01,Britain,3.64797600212458
2006-05-01,Hong Kong,1.54772806417912
2006-05-01,Hungary,2.71390936705818
2006-05-01,Indonesia,1.5656836461126
2006-05-01,Japan,2.23005218322109
2006-05-01,South Korea,2.62494750104998
2006-05-01,Sri Lanka,1.84546646593172
2006-05-01,Mexico,2.56566782564075
2006-05-01,Malaysia,1.51536024245764
2006-05-01,Norway,7.04652344198089
2006-05-01,New Zealand,2.74520206537899
2006-05-01,Pakistan,2.16468237449005
2006-05-01,Peru,2.91321680466115
2006-05-01,Philippines,1.61520190023753
2006-05-01,Poland,2.09734927318781
2006-05-01,Russia,1.77359013440488
2006-05-01,Saudi Arabia,2.40064017071219
2006-05-01,Singapore,2.26800226800227
2006-05-01,Sweden,4.53013569815569
2006-05-01,Thailand,1.56067108856808
2006-05-01,Turkey,2.72461887771651
2006-05-01,Taiwan,2.3334681559379
2006-05-01,Ukraine,1.68316831683168
2006-05-01,Uruguay,1.76718913270637
2006-05-01,United States,3.1
2006-05-01,South Africa,2.11459754433834
2007-01-01,UAE,2.72286663399227
2007-01-01,Argentina,2.67098340752732
2007-01-01,Australia,2.72325780568569
2007-01-01,Brazil,2.99976564330912
2007-01-01,Canada,3.08975613908159
2007-01-01,Switzerland,5.04605526631958
2007-01-01,Chile,3.09173377765436
2007-01-01,China,1.41491838493498
